"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"163","Nestle SA $NSRGY Shares Bought by Polen Capital Management LLC https://t.co/aEZhj8iD7x",FALSE,0,NA,2017-05-27 02:36:12,FALSE,NA,"868294737740128257",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","TickerReport",0,FALSE,FALSE,NA,NA
"164","FDHS SB call out meeting. Anyone interested meet @ nestle toll house cafe 867 S Broadway suite 110. 6pm on May... https://t.co/XPuXpqCDJo",FALSE,0,NA,2017-05-27 02:34:52,FALSE,NA,"868294402426404866",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jgregdavis",0,FALSE,FALSE,NA,NA
"165","@strawburrygurl i thought you have always been about that? Like I picture you next to cristina on the Nestle water ad and everything",FALSE,0,"strawburrygurl",2017-05-27 02:29:32,FALSE,"868268866979348480","868293062803341313","256318264","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AboreoB",0,FALSE,FALSE,NA,NA
"166","RT @RandyKrotz: Listening to @mariclefarm of @CommonGroundNow and @PigFarmerOfYear of @USFRA at Sustainable Brands conference in Nestle boo…",FALSE,0,NA,2017-05-27 02:27:28,FALSE,NA,"868292540046479360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KrayolaSky",3,TRUE,FALSE,NA,NA
"167","Nestlé Waters invests $6m in ‘closing the US recycling gap’ https://t.co/KUiBWAePyw https://t.co/nlXtupPCQQ",FALSE,0,NA,2017-05-27 02:25:02,FALSE,NA,"868291928428883969",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","EveTurowPaul",0,FALSE,FALSE,NA,NA
"168","@clark_hadden @CBCToronto @CBCAlerts Nestle has money to bribe politicians.",FALSE,0,"clark_hadden",2017-05-27 02:22:21,FALSE,"868231488726282240","868291252365778944","4291714157","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zakimar2",0,FALSE,FALSE,NA,NA
"169","@DarkenedAngel12 -- more please. -closes back my eyes and nestle into his arms-",FALSE,0,"DarkenedAngel12",2017-05-27 02:20:21,FALSE,"868282358872625152","868290751003807744","2158094742","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ser3n3_DH",0,FALSE,FALSE,NA,NA
"170","#Nestle Slammed For #Siphoning #Drought #Water And #Selling It #ForProfit https://t.co/hHMjh6rR77 Nestle is #Guilty of #CrimesAgainstNature",FALSE,0,NA,2017-05-27 02:16:21,FALSE,NA,"868289743129387011",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lamentefugitiva",0,FALSE,FALSE,NA,NA
"171","RT @JosekFrenchie: @carterjwm I love nuggets too, but prefer dog food! How many #RT for that? @barkbox @MarsGlobal @McDonalds @Wendys @cart…",FALSE,0,NA,2017-05-27 02:10:55,FALSE,NA,"868288377170350080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","litros99freire",13,TRUE,FALSE,NA,NA
"172","**NEW Printable Coupon** $1.00/2 NESTLÉ COFFEE-MATE Coffee Creamers 

Go Here --&gt;&gt;   https://t.co/DcE5PLV7jx https://t.co/fvn77PbsVK",FALSE,0,NA,2017-05-27 02:10:50,FALSE,NA,"868288355494092801",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HTSFF",0,FALSE,FALSE,NA,NA
"173","We're inviting you all to a demo with Nestle Philippines this May 30, 2017 from 11 AM to 2 PM at Chefs &amp; Bakers... https://t.co/E2Eu9EmdJX",FALSE,0,NA,2017-05-27 02:10:30,FALSE,NA,"868288269607247872",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","chefsandbakers",0,FALSE,FALSE,NA,NA
"174","Nestle slash sugar in Milkybars https://t.co/TAcLIXfJeu #milkybar",FALSE,0,NA,2017-05-27 02:09:50,FALSE,NA,"868288101717860352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eshinod",0,FALSE,FALSE,NA,NA
"175","We're #hiring! Read about our latest #job opening here: Senior Lifecycle Manager - https://t.co/yQfrn2XZlU #Stamford, CT #CareerArc",FALSE,0,NA,2017-05-27 02:06:25,FALSE,NA,"868287242367770624",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","NWNAjobs",0,FALSE,FALSE,NA,NA
"176","RT @CleanWaterforNC: Did you know that the energy we waste bottling water would be enough to power 190,000 homes? https://t.co/VBRoyEfIso #…",FALSE,0,NA,2017-05-27 02:06:01,FALSE,NA,"868287141448699905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nutgraham",1,TRUE,FALSE,NA,NA
"177","Having some #fangyfriday fun in the paper fort. Also missing her grandotherfurmama (Mimi) who… https://t.co/1pV828m2ET",FALSE,0,NA,2017-05-27 02:04:46,FALSE,NA,"868286827677011968",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nestle_boots",0,FALSE,FALSE,NA,NA
"178","Turn up the heat. Enter now and you can win a game console or 3D printer and 1 of 100s of smokin hot instant prizes https://t.co/tnoCmp4BCB",FALSE,0,NA,2017-05-27 02:01:56,FALSE,NA,"868286116763320320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vickieleitch23",0,FALSE,FALSE,NA,NA
"179","Turn up the heat. Enter now and you can win a game console or 3D printer and 1 of 100s of smokin hot instant prizes https://t.co/Tn9fgn1odh",FALSE,0,NA,2017-05-27 02:01:05,FALSE,NA,"868285901901893633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TraceyPullum",0,FALSE,FALSE,NA,NA
"180","RT @FarmFutures: Nestle said late last year it had found a way to reduce #sugar in chocolate as much as 40% https://t.co/uUTAcDmQhy https:/…",FALSE,0,NA,2017-05-27 02:00:34,FALSE,NA,"868285771345784832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","shotem1",11,TRUE,FALSE,NA,NA
"181","Motley Fool Wealth Management LLC Raises Position in Nestle SA $NSRGY https://t.co/gs8RVcq0pl",FALSE,0,NA,2017-05-27 01:58:02,FALSE,NA,"868285135149572096",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","WatchlistN",0,FALSE,FALSE,NA,NA
