"","xhat","level","trend","season"
"1",11.9660790598291,16.6426767676768,1.25743006993007,-5.93402777777778
"2",18.9233595571096,25.1272435897436,1.98014374514374,-8.18402777777778
"3",29.8092802253302,27.9686996891997,2.06627498057498,-0.225694444444447
"4",33.4133886076146,29.3875504895105,2.00153256254856,2.02430555555555
"5",45.7544725287956,30.2583721659674,1.88846147393939,13.6076388888889
"6",58.8073315107282,30.7432556168702,1.74810367163574,26.3159722222222
"7",43.1783167862565,31.8454940799234,1.68351715077749,9.64930555555556
"8",38.1782484984616,35.7863578016957,1.90925180787697,0.482638888888892
"9",27.3589749610257,32.7530108108034,1.41499192800004,-6.80902777777778
"10",21.0830689233231,33.8808227699829,1.38627393111799,-14.1840277777778
"11",12.0229088685834,28.8006415624424,0.739628417252136,-17.5173611111111
"12",30.1540441481488,28.7219428848278,0.657795707765461,0.774305555555557
